epoch,norm,train_loss,test_loss,test_accuracy,seed,lr,mm,wd
1,BN,1.835879471905701,1.52119837641716,0.434,0,0.01,0.9,1e-05
2,BN,1.2518693670592345,1.094949511885643,0.6136,0,0.01,0.9,1e-05
3,BN,0.9474698413363504,0.8835160577297211,0.6956,0,0.01,0.9,1e-05
4,BN,0.7542963820650145,0.7377252912521363,0.7498,0,0.01,0.9,1e-05
5,BN,0.6283611722309571,0.6366189140081405,0.7838,0,0.01,0.9,1e-05
6,BN,0.5443684496080784,0.5405597484111786,0.8189,0,0.01,0.9,1e-05
7,BN,0.4916535096095346,0.5906163838505745,0.8114,0,0.01,0.9,1e-05
8,BN,0.4297581503687002,0.5038116675615311,0.829,0,0.01,0.9,1e-05
9,BN,0.391376836754172,0.4674289657175541,0.8441,0,0.01,0.9,1e-05
10,BN,0.3545374699184657,0.4857436051964759,0.839,0,0.01,0.9,1e-05
11,BN,0.3323426938346585,0.4303644502162933,0.8595,0,0.01,0.9,1e-05
12,BN,0.3030900311515764,0.401137969493866,0.8649,0,0.01,0.9,1e-05
13,BN,0.2818780659752734,0.4097188413143158,0.8689,0,0.01,0.9,1e-05
14,BN,0.2597884196988152,0.4093381017446518,0.8713,0,0.01,0.9,1e-05
15,BN,0.2426303714094564,0.4086738921701908,0.8695,0,0.01,0.9,1e-05
16,BN,0.2284734779039917,0.4723731309175491,0.8599,0,0.01,0.9,1e-05
17,BN,0.2058741176486625,0.3822836279869079,0.8844,0,0.01,0.9,1e-05
18,BN,0.193767160196286,0.3438877347111702,0.8897,0,0.01,0.9,1e-05
19,BN,0.1843989719172268,0.3903947746753692,0.8819,0,0.01,0.9,1e-05
20,BN,0.168106304353003,0.3791631852090358,0.8845,0,0.01,0.9,1e-05
21,BN,0.0994916020623405,0.3077746676653624,0.9127,0,0.01,0.9,1e-05
22,BN,0.080064160351539,0.3243089532107114,0.9132,0,0.01,0.9,1e-05
23,BN,0.0712704483676901,0.3312098676711321,0.9166,0,0.01,0.9,1e-05
24,BN,0.0623451304470743,0.3489338351041078,0.9146,0,0.01,0.9,1e-05
25,BN,0.0609004883371922,0.3620706610381603,0.9122,0,0.01,0.9,1e-05
26,BN,0.0540015375517937,0.3640396784245968,0.9137,0,0.01,0.9,1e-05
27,BN,0.0512381996697439,0.3758216205239296,0.912,0,0.01,0.9,1e-05
28,BN,0.0464794044236978,0.3842079372704029,0.9129,0,0.01,0.9,1e-05
29,BN,0.0450434300773407,0.3861056442558765,0.9141,0,0.01,0.9,1e-05
30,BN,0.0411232482931336,0.4533559386432171,0.9082,0,0.01,0.9,1e-05
31,BN,0.0270469005944926,0.3922253927588462,0.9181,0,0.01,0.9,1e-05
