norm,independence,balancement,seed,round,test_accuracy,test_loss,train_loss
BN,iid,balanced,0,1,0.1,2.4103339110748676,2.699466049671173
BN,iid,balanced,0,2,0.1002,2.7062816770770883,2.4399820506572723
BN,iid,balanced,0,3,0.1349,2.6321498985531964,2.2252661490440366
BN,iid,balanced,0,4,0.1825,2.3255140117452116,2.084337586760521
BN,iid,balanced,0,5,0.2313,2.1436946739124347,2.006208348274231
BN,iid,balanced,0,6,0.2571,2.0628695261629324,1.934172630906105
BN,iid,balanced,0,7,0.2735,2.0070534174955346,1.8401645529270172
BN,iid,balanced,0,8,0.2868,1.995303624792944,1.7817291128635406
BN,iid,balanced,0,9,0.3336,1.9004093182237842,1.7046389693021773
BN,iid,balanced,0,10,0.3641,1.7952429025988035,1.6725389999151232
BN,iid,balanced,0,11,0.3602,1.8299186124077327,1.6055341660976414
BN,iid,balanced,0,12,0.3889,1.7256319568127017,1.5488276916742325
BN,iid,balanced,0,13,0.4091,1.696971642820141,1.4937108999490736
BN,iid,balanced,0,14,0.4286,1.6580677968037278,1.4430415576696394
BN,iid,balanced,0,15,0.4518,1.5500119124786764,1.3754768800735473
BN,iid,balanced,0,16,0.4713,1.5204931075059915,1.3361799377202987
BN,iid,balanced,0,17,0.464,1.5584025382995605,1.3060567861795425
BN,iid,balanced,0,18,0.4783,1.5228063169913957,1.2557278949022292
BN,iid,balanced,0,19,0.4879,1.4870639556570897,1.2048820891976357
BN,iid,balanced,0,20,0.4908,1.5438375578650945,1.151511198580265
BN,iid,balanced,0,21,0.5014,1.4899070851410492,1.1112847676873208
BN,iid,balanced,0,22,0.5198,1.4446394443511963,1.0684721755981448
BN,iid,balanced,0,23,0.5269,1.4710135097745098,1.000836451649666
BN,iid,balanced,0,24,0.5319,1.442304772666738,0.975408508181572
BN,iid,balanced,0,25,0.5416,1.4259255505815338,0.9476266020536421
BN,iid,balanced,0,26,0.5461,1.4510623971118202,0.9021756130456925
BN,iid,balanced,0,27,0.5518,1.4634816978551164,0.8642391447722912
BN,iid,balanced,0,28,0.5485,1.487354139738445,0.8501685385406017
BN,iid,balanced,0,29,0.5586,1.4546804729896257,0.8143838238716125
BN,iid,balanced,0,30,0.5635,1.4501755237579346,0.7743719427287578
BN,iid,balanced,0,31,0.5604,1.5319322287281858,0.7304672767221928
BN,iid,balanced,0,32,0.5663,1.4660611454444596,0.6900978642702104
BN,iid,balanced,0,33,0.5697,1.4912200728549232,0.6996634654700756
BN,iid,balanced,0,34,0.579,1.4831175819227966,0.6357212258130311
BN,iid,balanced,0,35,0.5691,1.5216861586027508,0.6207622081786395
BN,iid,balanced,0,36,0.5784,1.5211333443846884,0.5767508409917353
BN,iid,balanced,0,37,0.5859,1.4872824934464466,0.5725846108794211
BN,iid,balanced,0,38,0.5867,1.5072369726398323,0.5139986816048623
