norm,independence,balancement,round,lr,mm,wd,test_accuracy,test_loss,type
BN,iid,balanced,1.0,0.01,0.5,0.0,0.09953333333333332,2.3371698735635493,used
BN,iid,balanced,1.0,0.01,0.9,1e-05,0.10000000000000002,2.397294862360894,best
BN,iid,balanced,2.0,0.01,0.5,0.0,0.10366666666666668,2.3767738714499815,used
BN,iid,balanced,2.0,0.01,0.9,1e-05,0.10000000000000002,2.3459196161117233,best
BN,iid,balanced,3.0,0.01,0.5,0.0,0.12256666666666666,2.384084999309813,used
BN,iid,balanced,3.0,0.01,0.9,1e-05,0.12816666666666668,2.285132934272541,best
BN,iid,balanced,4.0,0.01,0.5,0.0,0.15393333333333334,2.2184228504760353,used
BN,iid,balanced,4.0,0.01,0.9,1e-05,0.1315,2.2388340662300337,best
BN,iid,balanced,5.0,0.01,0.5,0.0,0.18873333333333334,2.0945336999772475,used
BN,iid,balanced,5.0,0.01,0.9,1e-05,0.18043333333333333,2.137240967167078,best
BN,iid,balanced,6.0,0.01,0.5,0.0,0.19456666666666667,2.075555937199653,used
BN,iid,balanced,6.0,0.01,0.9,1e-05,0.15423333333333333,2.2011489259542794,best
BN,iid,balanced,7.0,0.01,0.5,0.0,0.2101666666666667,2.0201622795958056,used
BN,iid,balanced,7.0,0.01,0.9,1e-05,0.17446666666666666,2.1461836406450234,best
BN,iid,balanced,8.0,0.01,0.5,0.0,0.22996666666666665,1.9697988385389626,used
BN,iid,balanced,8.0,0.01,0.9,1e-05,0.19753333333333334,2.076570570217406,best
BN,iid,balanced,9.0,0.01,0.5,0.0,0.23116666666666666,1.9390818428892629,used
BN,iid,balanced,9.0,0.01,0.9,1e-05,0.20326666666666668,2.0434410471453446,best
BN,iid,balanced,10.0,0.01,0.5,0.0,0.25533333333333336,1.919346688668939,used
BN,iid,balanced,10.0,0.01,0.9,1e-05,0.18536666666666668,2.069847659722662,best
BN,iid,balanced,11.0,0.01,0.5,0.0,0.24733333333333332,1.9621071579084115,used
BN,iid,balanced,11.0,0.01,0.9,1e-05,0.21236666666666668,2.031193775466726,best
BN,iid,balanced,12.0,0.01,0.5,0.0,0.26033333333333336,1.9014028446583808,used
BN,iid,balanced,12.0,0.01,0.9,1e-05,0.24353333333333335,1.9344483493249627,best
BN,iid,balanced,13.0,0.01,0.5,0.0,0.2844,1.8510617430200051,used
BN,iid,balanced,13.0,0.01,0.9,1e-05,0.2247,1.9803877525691744,best
BN,iid,balanced,14.0,0.01,0.5,0.0,0.29283333333333333,1.8399853530312391,used
BN,iid,balanced,14.0,0.01,0.9,1e-05,0.24339999999999998,1.9336989705572651,best
BN,iid,balanced,15.0,0.01,0.5,0.0,0.2946,1.7954493685613706,used
BN,iid,balanced,15.0,0.01,0.9,1e-05,0.2543666666666667,1.925922926468185,best
BN,iid,balanced,16.0,0.01,0.5,0.0,0.2913,1.8222786439622005,used
BN,iid,balanced,16.0,0.01,0.9,1e-05,0.26763333333333333,1.890408271978676,best
BN,iid,balanced,17.0,0.01,0.5,0.0,0.30473333333333336,1.7786994488430425,used
BN,iid,balanced,17.0,0.01,0.9,1e-05,0.2894333333333334,1.8083133843377677,best
BN,iid,balanced,18.0,0.01,0.5,0.0,0.33359999999999995,1.7392615713650665,used
BN,iid,balanced,18.0,0.01,0.9,1e-05,0.2722,1.8715077346890283,best
BN,iid,balanced,19.0,0.01,0.5,0.0,0.3509333333333333,1.6979682586364102,used
BN,iid,balanced,19.0,0.01,0.9,1e-05,0.2968333333333333,1.7924479990568845,best
BN,iid,balanced,20.0,0.01,0.5,0.0,0.37213333333333337,1.6719634447419693,used
BN,iid,balanced,20.0,0.01,0.9,1e-05,0.32403333333333334,1.746288660206372,best
BN,iid,balanced,21.0,0.01,0.5,0.0,0.3644,1.6865619571903085,used
BN,iid,balanced,21.0,0.01,0.9,1e-05,0.30619999999999997,1.7922989678282273,best
BN,iid,balanced,22.0,0.01,0.5,0.0,0.37810000000000005,1.646630548726657,used
