round,norm,scenario,model,accuracy,loss
1,,feddyn iid balanced,CNN,0.34416666666666673,1.8334506686528524
1,,feddyn noniid balanced,CNN,0.10026666666666666,2.3712674808502197
1,,feddyn noniid unbalanced,CNN,0.10000000000000002,2.4368076904614764
2,,feddyn iid balanced,CNN,0.4283666666666666,1.5852532903353371
2,,feddyn noniid balanced,CNN,0.10000000000000002,2.784266464710236
2,,feddyn noniid unbalanced,CNN,0.10343333333333334,2.557546941439311
3,,feddyn iid balanced,CNN,0.47900000000000004,1.468022899230321
3,,feddyn noniid balanced,CNN,0.10016666666666667,3.6804726064205173
3,,feddyn noniid unbalanced,CNN,0.10593333333333332,3.559977457523346
4,,feddyn iid balanced,CNN,0.5015999999999999,1.4228481336434682
4,,feddyn noniid balanced,CNN,0.11386666666666667,6.046431511640549
4,,feddyn noniid unbalanced,CNN,0.10729999999999999,2.7890830707550047
5,,feddyn iid balanced,CNN,0.5279333333333334,1.3520931657155355
5,,feddyn noniid balanced,CNN,0.10136666666666667,3.0874644017219546
5,,feddyn noniid unbalanced,CNN,0.1004,3.3560588733355203
6,,feddyn iid balanced,CNN,0.5557,1.2756860838333768
6,,feddyn noniid balanced,CNN,0.12216666666666666,2.8391060344378154
6,,feddyn noniid unbalanced,CNN,0.1012,2.7131706817944843
7,,feddyn iid balanced,CNN,0.5678,1.2548968285322186
7,,feddyn noniid balanced,CNN,0.10000000000000002,3.2923342291514075
7,,feddyn noniid unbalanced,CNN,0.11906666666666665,2.548643254439036
8,,feddyn iid balanced,CNN,0.5773333333333334,1.231890528599421
8,,feddyn noniid balanced,CNN,0.12510000000000002,2.6130866614977517
8,,feddyn noniid unbalanced,CNN,0.11,5.383468783696493
9,,feddyn iid balanced,CNN,0.5904333333333334,1.1781801076730092
9,,feddyn noniid balanced,CNN,0.12583333333333332,3.031187056700389
9,,feddyn noniid unbalanced,CNN,0.11566666666666665,3.1286348644892374
10,,feddyn iid balanced,CNN,0.5990666666666667,1.1770702815055847
10,,feddyn noniid balanced,CNN,0.11803333333333332,4.57568994363149
10,,feddyn noniid unbalanced,CNN,0.11753333333333334,2.9445702966054284
11,,feddyn iid balanced,CNN,0.6204333333333333,1.1008348739147187
11,,feddyn noniid balanced,CNN,0.10643333333333334,2.7211699899037676
11,,feddyn noniid unbalanced,CNN,0.12156666666666667,3.4999008472760518
12,,feddyn iid balanced,CNN,0.6366333333333333,1.0715242598454158
12,,feddyn noniid balanced,CNN,0.13926666666666668,2.5768383995691937
12,,feddyn noniid unbalanced,CNN,0.11023333333333334,3.510392064253489
13,,feddyn iid balanced,CNN,0.6429333333333332,1.034598946372668
13,,feddyn noniid balanced,CNN,0.10000000000000002,4.301733833154042
13,,feddyn noniid unbalanced,CNN,0.10753333333333333,3.581828343073527
14,,feddyn iid balanced,CNN,0.6465333333333333,1.029349282781283
14,,feddyn noniid balanced,CNN,0.10986666666666667,3.954348721504212
14,,feddyn noniid unbalanced,CNN,0.10213333333333334,3.518114359378815
15,,feddyn iid balanced,CNN,0.6570666666666666,0.9977388379971185
15,,feddyn noniid balanced,CNN,0.12446666666666667,2.910599495569864
15,,feddyn noniid unbalanced,CNN,0.11063333333333332,3.207808986504873
16,,feddyn iid balanced,CNN,0.6611666666666667,0.9947763401269913
16,,feddyn noniid balanced,CNN,0.10326666666666667,3.8042743333180744
16,,feddyn noniid unbalanced,CNN,0.12286666666666668,3.115722385247548
17,,feddyn iid balanced,CNN,0.6669,0.970899129509926
17,,feddyn noniid balanced,CNN,0.11826666666666667,3.4104063367843627
17,,feddyn noniid unbalanced,CNN,0.14003333333333332,2.6269009184837344
18,,feddyn iid balanced,CNN,0.672,0.9516042949755987
18,,feddyn noniid balanced,CNN,0.11066666666666665,3.504351998170217
18,,feddyn noniid unbalanced,CNN,0.11036666666666667,3.9200002272923786
19,,feddyn iid balanced,CNN,0.6779999999999999,0.9453769093751907
19,,feddyn noniid balanced,CNN,0.09923333333333334,2.686126441160838
19,,feddyn noniid unbalanced,CNN,0.12,3.073296955426534
20,,feddyn iid balanced,CNN,0.6842333333333332,0.9353930701812109
20,,feddyn noniid balanced,CNN,0.11259999999999999,7.360641043980916
20,,feddyn noniid unbalanced,CNN,0.1069,3.4562876852353415
