round,accuracy,loss,norm,scenario,hp
1.0,0.4322333333333333,1.5931635912259423,BN,centralized, nan
1.0,0.2316,2.0044281752904256,GN,centralized, nan
2.0,0.5709000000000001,1.2316400533914569,BN,centralized, nan
2.0,0.3196,1.8226140554745995,GN,centralized, nan
3.0,0.6177,1.1461374853054682,BN,centralized, nan
3.0,0.3252,1.8853156562646232,GN,centralized, nan
4.0,0.6837,0.9268518225351968,BN,centralized, nan
4.0,0.3838,1.7074824357032776,GN,centralized, nan
5.0,0.7099666666666667,0.8555041420459748,BN,centralized, nan
5.0,0.4454666666666667,1.5714420096079509,GN,centralized, nan
6.0,0.7551333333333332,0.7566410829623541,BN,centralized, nan
6.0,0.4569333333333333,1.577844358285268,GN,centralized, nan
7.0,0.7721666666666667,0.6816117613514265,BN,centralized, nan
7.0,0.5112,1.397388560771942,GN,centralized, nan
8.0,0.7925333333333334,0.6350206444660822,BN,centralized, nan
8.0,0.5458666666666666,1.280316089987755,GN,centralized, nan
9.0,0.7935333333333333,0.6247872943679491,BN,centralized, nan
9.0,0.5689,1.2531172446409862,GN,centralized, nan
10.0,0.8071999999999999,0.589957047700882,BN,centralized, nan
10.0,0.5860333333333334,1.1611647280057271,GN,centralized, nan
11.0,0.8169333333333334,0.5671664867798487,BN,centralized, nan
11.0,0.6133000000000001,1.1180703075726826,GN,centralized, nan
12.0,0.8178666666666667,0.5739538762966792,BN,centralized, nan
12.0,0.6451666666666667,1.0406884348392484,GN,centralized, nan
13.0,0.8288333333333333,0.5441985940933227,BN,centralized, nan
13.0,0.6547666666666667,0.9762484447161356,GN,centralized, nan
14.0,0.8410000000000001,0.5129459205766519,BN,centralized, nan
14.0,0.6940333333333334,0.8925560480356216,GN,centralized, nan
15.0,0.8291666666666667,0.5511803887287776,BN,centralized, nan
15.0,0.7004333333333334,0.8717959566911061,GN,centralized, nan
16.0,0.8455333333333334,0.5078986279169718,BN,centralized, nan
16.0,0.6808333333333333,0.9358023738861084,GN,centralized, nan
17.0,0.8521333333333333,0.4820919301609198,BN,centralized, nan
17.0,0.7215666666666666,0.8113644073406855,GN,centralized, nan
18.0,0.8475333333333334,0.5006155007580916,BN,centralized, nan
18.0,0.7442333333333334,0.767526364227136,GN,centralized, nan
19.0,0.8520333333333334,0.4971288366119066,BN,centralized, nan
