round,lr,weight_decay,momentum,model,norm,independence,balancement,loss,accuracy
1,0.1,0.001,0,ResNet50,BN,iid,balanced,2.4379471627871196,0.10000000000000002
1,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.762197247346242,0.10000000000000002
1,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.7863689454396563,0.10000000000000002
1,0.1,0.001,0,ResNet50,GN,iid,balanced,2.707300647989909,0.106
1,0.1,0.001,0,ResNet50,GN,noniid,balanced,3.202433483282725,0.1002
1,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,6.56907662630081,0.10000000000000002
2,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
2,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
2,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
2,0.1,0.001,0,ResNet50,GN,iid,balanced,2.3480359686215717,0.10076666666666667
2,0.1,0.001,0,ResNet50,GN,noniid,balanced,3.4220748635927833,0.10000000000000002
2,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,3.571524226665497,0.10000000000000002
3,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
3,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
3,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
3,0.1,0.001,0,ResNet50,GN,iid,balanced,2.30363101199468,0.1077
3,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.7468715239842734,0.10000000000000002
3,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,3.013255139986674,0.10000000000000002
4,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
4,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
4,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
4,0.1,0.001,0,ResNet50,GN,iid,balanced,2.2977404839515683,0.11286666666666667
4,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.7721961577733354,0.10033333333333334
4,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6437729978561397,0.10000000000000002
5,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
5,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
5,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
5,0.1,0.001,0,ResNet50,GN,iid,balanced,2.2985390044212344,0.10793333333333333
5,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.6735681524594628,0.10076666666666667
5,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,3.1450247065226242,0.09883333333333333
6,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
6,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
6,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
6,0.1,0.001,0,ResNet50,GN,iid,balanced,2.2970272537231446,0.10863333333333332
