round,test_loss,test_acc,norm,independence,balancement,seed,train_acc,train_loss
1,2.2227874867523774,0.1815268987341772,GN,iid,balanced,0,0.1546012927174568,1.8292268419265745
2,2.123475134372711,0.1984572784810126,GN,iid,balanced,0,0.2167086468458175,1.1014014399051668
3,1.9340750173677368,0.3104825949367089,GN,iid,balanced,0,0.2997710120677947,1.039459939152002
4,1.8384499583063247,0.3520075158227848,GN,iid,balanced,0,0.3364971705913543,1.0000837278366088
5,1.8434368823148024,0.3436412183544304,GN,iid,balanced,0,0.383954066991806,0.9722517201304436
6,1.773014290272435,0.3909117879746835,GN,iid,balanced,0,0.432594286775589,0.9368908098340034
7,1.7298805451091332,0.4093552215189873,GN,iid,balanced,0,0.4775532036304473,0.9099111525714396
8,1.723846745189232,0.4106111550632912,GN,iid,balanced,0,0.5008829449653625,0.8920370669662951
9,1.6950872265839878,0.4065664556962025,GN,iid,balanced,0,0.5340072715759276,0.8700003555417062
10,1.6895458216908612,0.4228144778481013,GN,iid,balanced,0,0.5649878756523132,0.851194963157177
11,1.6494103867796404,0.4253461234177215,GN,iid,balanced,0,0.5722683177947998,0.8437611331045627
12,1.6150980887533744,0.4485759493670886,GN,iid,balanced,0,0.606663520717621,0.8222813828289508
13,1.5589823303343375,0.4871242088607594,GN,iid,balanced,0,0.5920858007431031,0.8036766463518143
14,1.5542571958107283,0.4822488132911393,GN,iid,balanced,0,0.6062304668426515,0.7988629780709744
15,1.5247183046763455,0.4953520569620253,GN,iid,balanced,0,0.6083425357818604,0.7941800157725811
16,1.5162391422670098,0.4979825949367087,GN,iid,balanced,0,0.6289944751739502,0.7767015174031258
17,1.530649376971812,0.4909018987341772,GN,iid,balanced,0,0.6427855583190917,0.7685016524791718
18,1.4973716689061516,0.4998912183544304,GN,iid,balanced,0,0.65244544506073,0.7509954515099525
19,1.4983753027795237,0.5007120253164556,GN,iid,balanced,0,0.6480758330345154,0.7630892530083656
20,1.4753671124011656,0.5106309335443038,GN,iid,balanced,0,0.6676252674102783,0.7509502229094506
21,1.4963448124595835,0.5005933544303798,GN,iid,balanced,0,0.6696161079406738,0.7437475140392781
22,1.4685673398307608,0.4990110759493671,GN,iid,balanced,0,0.6880347494125367,0.7357335473597051
23,1.4745189948926998,0.5075454905063291,GN,iid,balanced,0,0.689516431236267,0.7317119412124156
24,1.4660901911651032,0.5111253955696202,GN,iid,balanced,0,0.5696012908935546,0.8069282253086566
25,1.446028322962266,0.5193136867088607,GN,iid,balanced,0,0.5827862312316896,0.7912957897782327
26,1.4416849460782883,0.520431170886076,GN,iid,balanced,0,0.5891500514030457,0.7878516390919685
27,1.437053480253944,0.5190466772151899,GN,iid,balanced,0,0.5797851541519164,0.7882065859436989
28,1.433428159092046,0.5178006329113924,GN,iid,balanced,0,0.5720312482833863,0.7909215748310089
29,1.42423796623568,0.5265723892405063,GN,iid,balanced,0,0.5789587807655334,0.7877432031929492
30,1.46873751071435,0.5074762658227848,GN,iid,balanced,0,0.5693083217620849,0.7973484839498997
31,1.420911286978782,0.5234276107594937,GN,iid,balanced,0,0.5780300355911255,0.7828023599088192
32,1.4098842362814312,0.5258900316455696,GN,iid,balanced,0,0.5770507794380187,0.7972723391652108
33,1.4319680064539366,0.5183445411392406,GN,iid,balanced,0,0.5832792270660401,0.7983068464696408
34,1.420330590839627,0.524881329113924,GN,iid,balanced,0,0.5809779079437256,0.8035695533454417
35,1.4099593923061708,0.5301028481012658,GN,iid,balanced,0,0.5523814641952516,0.8098904143273831
36,1.4039002557344074,0.5293117088607595,GN,iid,balanced,0,0.560725348854065,0.8090089401602745
37,1.4117752218548256,0.5284612341772152,GN,iid,balanced,0,0.5703953372955322,0.8008442868292331
38,1.4055957653854467,0.5292424841772152,GN,iid,balanced,0,0.5523107470512391,0.815147472321987
39,1.4033443416221232,0.5291139240506328,GN,iid,balanced,0,0.5487257514953612,0.8343158321082592
40,1.4110620755183545,0.5247428797468354,GN,iid,balanced,0,0.5519578382492065,0.8291080515086652
41,1.401613112039204,0.5264042721518988,GN,iid,balanced,0,0.5511456073760987,0.8251270876824857
42,1.407274967658369,0.5266515031645569,GN,iid,balanced,0,0.54187971200943,0.8422354449331761
43,1.3914050385921817,0.5303599683544304,GN,iid,balanced,0,0.5607125518798829,0.8266987147927285
44,1.4069132303135303,0.5257021360759494,GN,iid,balanced,0,0.5559886833190918,0.8418967375159264
45,1.4037524500979652,0.5264636075949367,GN,iid,balanced,0,0.5617685863494873,0.8382488429546356
46,1.4036038546622551,0.5250988924050634,GN,iid,balanced,0,0.5423834840774535,0.8493935672938825
47,1.4199258683603022,0.5195411392405063,GN,iid,balanced,0,0.5552916202545167,0.8430310459434986
48,1.4095652145675466,0.5215288765822784,GN,iid,balanced,0,0.5494147328376771,0.8446795631945132
49,1.406973077073882,0.5228342563291141,GN,iid,balanced,0,0.5380973848342896,0.8566215567290781
50,1.4187751172464105,0.5192345727848101,GN,iid,balanced,0,0.5492773413658141,0.8449811753630639
1,2.5381955394262,0.0997923259493671,GN,noniid,unbalanced,0,0.334663218834821,2.253685302068205
2,2.6577747628658632,0.1358583860759493,GN,noniid,unbalanced,0,0.2212936226596003,1.1486711745676783
3,2.445669713503198,0.0993077531645569,GN,noniid,unbalanced,0,0.113380379131862,1.392668121414525
4,2.60468803387654,0.1,GN,noniid,unbalanced,0,0.1616555702669752,1.2788937045468225
5,2.686895863013932,0.1664655854430379,GN,noniid,unbalanced,0,0.2907457430739152,1.0355396746020569
6,2.2514162126975723,0.153065664556962,GN,noniid,unbalanced,0,0.1813400274935093,1.2621885898438368
7,2.503510150124755,0.1736847310126582,GN,noniid,unbalanced,0,0.3720905626526585,1.0017507152424918
8,2.5925657697870763,0.1394185126582278,GN,noniid,unbalanced,0,0.2198822575940026,1.128116889297962
9,2.4181329700011243,0.1018789556962025,GN,noniid,unbalanced,0,0.241502055959268,1.1776742630384187
10,2.3284083794943893,0.1986253955696202,GN,noniid,unbalanced,0,0.3488953030234888,1.0875355111925225
11,2.2931741617902923,0.2026404272151898,GN,noniid,unbalanced,0,0.2588683271249134,1.0702186263600983
12,2.293727204165881,0.1875494462025317,GN,noniid,unbalanced,0,0.2598591472466786,1.0502299543221791
13,2.1446298857278463,0.2108979430379746,GN,noniid,unbalanced,0,0.2695392175674438,1.1661523380875587
14,2.128479454034492,0.192790743670886,GN,noniid,unbalanced,0,0.2460907977613118,1.165960248846274
15,2.138899929463109,0.2224980221518987,GN,noniid,unbalanced,0,0.3380854573422356,1.0423240583193931
16,2.1981595039367674,0.2129054588607595,GN,noniid,unbalanced,0,0.289391791899999,1.0627013688286149
17,2.088887049427515,0.2245945411392405,GN,noniid,unbalanced,0,0.2841048364298684,1.0922062871002016
18,2.187300324138207,0.1946499208860759,GN,noniid,unbalanced,0,0.3501114549559095,1.0317431508199029
19,2.2054996146431454,0.2162381329113923,GN,noniid,unbalanced,0,0.2989918542450124,1.1368236291137608
20,2.117437101768542,0.1795787183544303,GN,noniid,unbalanced,0,0.2946688479956457,1.1097630995161396
21,2.04009220056896,0.2379153481012658,GN,noniid,unbalanced,0,0.2916790348717145,1.0730248519352503
22,2.0701347289206105,0.2052215189873417,GN,noniid,unbalanced,0,0.3079274963917939,1.063754416807838
23,2.1363376641575296,0.2200454905063291,GN,noniid,unbalanced,0,0.3907911157984482,0.9975223545965396
24,2.030506686017483,0.2384691455696202,GN,noniid,unbalanced,0,0.2154053689413948,1.150135542373908
