round,scenario,accuracy,loss
1.0,fedavg,0.0995333333333333,2.3371698735635493
2.0,fedavg,0.1036666666666666,2.376773871449981
3.0,fedavg,0.1225666666666666,2.384084999309813
4.0,fedavg,0.1539333333333333,2.2184228504760357
5.0,fedavg,0.1887333333333333,2.0945336999772475
6.0,fedavg,0.1945666666666666,2.075555937199653
7.0,fedavg,0.2101666666666667,2.0201622795958056
8.0,fedavg,0.2299666666666666,1.9697988385389624
9.0,fedavg,0.2311666666666666,1.9390818428892629
10.0,fedavg,0.2553333333333333,1.919346688668939
11.0,fedavg,0.2473333333333333,1.9621071579084115
12.0,fedavg,0.2603333333333333,1.9014028446583808
13.0,fedavg,0.2844,1.8510617430200047
14.0,fedavg,0.2928333333333333,1.8399853530312391
15.0,fedavg,0.2946,1.7954493685613706
16.0,fedavg,0.2913,1.8222786439622003
17.0,fedavg,0.3047333333333333,1.7786994488430423
18.0,fedavg,0.3335999999999999,1.7392615713650663
19.0,fedavg,0.3509333333333333,1.6979682586364102
20.0,fedavg,0.3721333333333333,1.6719634447419691
21.0,fedavg,0.3644,1.6865619571903083
22.0,fedavg,0.3781,1.646630548726657
23.0,fedavg,0.3915,1.6336657442624054
24.0,fedavg,0.3742,1.64505219157738
25.0,fedavg,0.4033666666666667,1.6030806966974769
26.0,fedavg,0.4086666666666667,1.5665832078909572
27.0,fedavg,0.4208666666666666,1.561190668037672
28.0,fedavg,0.4252666666666667,1.5500482396234438
29.0,fedavg,0.4350333333333333,1.5260084736699293
30.0,fedavg,0.4410333333333333,1.5038567449473128
31.0,fedavg,0.4504666666666666,1.4881146059760564
32.0,fedavg,0.4428,1.493185740985951
33.0,fedavg,0.4641333333333333,1.455186403753385
34.0,fedavg,0.4742333333333333,1.4407247506113496
35.0,fedavg,0.4617666666666666,1.480387820976193
36.0,fedavg,0.4883666666666666,1.3911568102454333
37.0,fedavg,0.4964333333333333,1.401571181253039
38.0,fedavg,0.5003333333333333,1.3696326862407635
39.0,fedavg,0.5069,1.3484553013169815
40.0,fedavg,0.5029666666666667,1.3596677020632264
41.0,fedavg,0.5122333333333332,1.3426804628050275
42.0,fedavg,0.5103666666666666,1.369369074262144
43.0,fedavg,0.5209666666666667,1.442611386001362
44.0,fedavg,0.5254666666666666,1.295204192777223
45.0,fedavg,0.529,1.2818661269256335
46.0,fedavg,0.5436333333333333,1.2488852618615838
47.0,fedavg,0.5445,1.2408097489473688
48.0,fedavg,0.5411,1.2541965623445148
49.0,fedavg,0.5523,1.218291914412744
50.0,fedavg,0.5521666666666667,1.2177806919134115
1.0,fedavg5,0.10223333333333333,2.4079849880958912
2.0,fedavg5,0.10383333333333333,2.6954868383045434
3.0,fedavg5,0.13536666666666666,2.713572752626636
4.0,fedavg5,0.18263333333333334,2.488921332459913
5.0,fedavg5,0.2149333333333333,2.2988828873332547
6.0,fedavg5,0.23343333333333335,2.2261801108026305
7.0,fedavg5,0.26020000000000004,2.140102607791434
8.0,fedavg5,0.29086666666666666,2.029948848712294
9.0,fedavg5,0.31529999999999997,1.9761116575088178
10.0,fedavg5,0.35496666666666665,1.827604822468657
11.0,fedavg5,0.37220000000000003,1.7785920181354895
12.0,fedavg5,0.4003666666666667,1.699725972952219
13.0,fedavg5,0.418,1.6676472913363813
14.0,fedavg5,0.43016666666666664,1.6640327575337535
15.0,fedavg5,0.45516666666666666,1.5683492874797385
16.0,fedavg5,0.4698333333333333,1.5502455234527588
17.0,fedavg5,0.47373333333333334,1.5324564090760948
18.0,fedavg5,0.4860666666666667,1.5084462110503314
19.0,fedavg5,0.48856666666666665,1.5193606640216168
20.0,fedavg5,0.4978666666666666,1.5117364533339874
21.0,fedavg5,0.5031333333333333,1.5180501082778484
22.0,fedavg5,0.5144000000000001,1.4939277277717107
23.0,fedavg5,0.5253,1.4703039127060127
24.0,fedavg5,0.5270333333333334,1.4629571478075114
25.0,fedavg5,0.5358666666666666,1.451274586629264
26.0,fedavg5,0.5351333333333333,1.4981682250268349
27.0,fedavg5,0.5431,1.4958775667198598
28.0,fedavg5,0.5512,1.4875141357067767
29.0,fedavg5,0.5515,1.505782885641991
30.0,fedavg5,0.5565,1.5038073022657308
31.0,fedavg5,0.5557,1.5343290396380524
32.0,fedavg5,0.5632666666666667,1.4931159628091484
33.0,fedavg5,0.5676666666666667,1.4973012098280185
34.0,fedavg5,0.5746,1.5061887306503101
35.0,fedavg5,0.5728666666666666,1.5307062200353119
36.0,fedavg5,0.5725333333333333,1.534565927107123
37.0,fedavg5,0.5790333333333333,1.5287767970612283
38.0,fedavg5,0.5826666666666666,1.540325834781309
39.0,fedavg5,0.5857666666666667,1.565526717825781
40.0,fedavg5,0.5869666666666666,1.5671916837933697
41.0,fedavg5,0.5912333333333333,1.5791703955533638
42.0,fedavg5,0.5938666666666667,1.587435370759119
43.0,fedavg5,0.5945,1.6069585361561192
44.0,fedavg5,0.5979,1.5977597598788105
45.0,fedavg5,0.5973666666666667,1.624296603826531
46.0,fedavg5,0.5996666666666667,1.6437772447046852
47.0,fedavg5,0.5959333333333333,1.6762435235051665
48.0,fedavg5,0.6014333333333334,1.6749441145844601
49.0,fedavg5,0.6045666666666666,1.6890540610888838
50.0,fedavg5,0.601,1.7158682773887861
1.0,fedgktCE,0.3667391877637131,2.065232881513829
2.0,fedgktCE,0.3896723364978903,2.818845088170048
